Player,Position,Height,Location,Usual Side,Usual Defense
Madison Shields / Kamila Tan,,,,,
Maria Kliefoth / Lexi Mckeown,,,,,
Megan J. Rice / Geena Urango,,,,,
Melissa Humana-Paredes / Brandie Wilkerson,,,,,
Paloma Bowman / Falyn Fonoimoana,,,,,
Piper Ferch / Teegan Van Gunst,,,,,
Ruby Cochrane / Olga Nikolaeva,,,,,
Taryn Brasher / Kristen Cruz,,,,,
Taylor Slover / Katie Smith,,,,,
Toni Rodriguez (FR 3798) / Molly Shaw,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Mens teams,,,,,
,,,,,
Alexander Harthaller / Diego Perez,,,,,
Alexander Koki / Nate Pugh,,,,,
Andrew Guaragno / Andrew Johnson,,,,,
Ben Pearson / Leo Tuncer,,,,,
Chase Budinger / Miles Evans,,,,,
Cody Caldwell / Jacob LaBouliere,,,,,
Cristian Encarnacion / William Rivera,,,,,
Derek Bradford / Evan Cory,,,,,
Devon Burki / Tomer Hadar,,,,,
Ford Harman / Will Rottman,,,,,
Gage Basey / Thomas Hurst,,,,,
Hamza Berrada / Ray Montes,,,,,
Kaleo Nawahine / Jay Panther,,,,,
Lars Basey / Ian Carlson,,,,,
Marcus Carvalhaes / Charlie Siragusa,,,,,
Marty Lorenz / Adam Roberts,,,,,
Mischa Freystaetter / Adam Hartmann,,,,,
Nicolas Brazao / Pedro Brazao,,,,,
Paul Lotman / Chaim Schalk,,,,,
Peter Connole / Djordje Klasnic,,,,,
Raffe Paulis / Spencer Sauter,,,,,
Ric Cervantes / Jonah Seif,,,,,
Rowdy Lennon / Logan Mister,,,,,
Seain Cook / Wyatt Harrison,,,,,
Sean Rosenthal / Tanner Smith,,,,,
Taylor Hughes / David Updegrove,,,,,
Tim Bomgren / Avery Drost,,,,,
Timothy Brewster / Ryan Ierna,,,,,
Trevor Crabb / Philip Dalhausser,,,,,
Troy Field / Ryan Wilcox,,,,,
Zach Schneider / Kyle Zelasko,,,,,
